Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;Domanda;Produzione PV;Autoconsumo
0;0.1;0.3;0;0.2;Bellinzona;421.3867735;237.6291777;109.9602439
0;0.075;0.3;0;0.2;Bellinzona;422.1602216;225.8053329;106.3926372
0;0;0.4;0;0.2;Bellinzona;423.6747428;192.2813232;95.41216152
0;0.025;0.4;0;0.2;Bellinzona;423.2523977;204.2962637;99.75553237
0;0.05;0.4;0;0.2;Bellinzona;422.6911669;216.604467;103.9495947
0;0.075;0.4;0;0.2;Bellinzona;422.0398186;228.9016385;107.8704698
0;0.1;0.4;0;0.2;Bellinzona;421.2887394;240.9237409;111.4629132
0;0;0.5;0;0.2;Bellinzona;423.6127904;194.5319113;96.63590639
0;0.025;0.5;0;0.2;Bellinzona;423.1413741;206.9235132;101.1246389
0;0.05;0.5;0;0.2;Bellinzona;422.595369;219.5502249;105.4117615
0;0.075;0.5;0;0.2;Bellinzona;421.9225887;232.1469949;109.4139318
0;0.1;0.5;0;0.2;Bellinzona;421.1722473;244.3504981;113.0185539
0.1;0;0;0;0.2;Bellinzona;423.9285381;184.3705111;91.83933919
0.1;0.025;0;0;0.2;Bellinzona;423.4785777;195.1429305;95.675608
0.1;0.05;0;0;0.2;Bellinzona;422.9721329;206.2132724;99.38263492
0.1;0.075;0;0;0.2;Bellinzona;422.3916084;217.4137126;102.9041598
0.1;0.1;0;0;0.2;Bellinzona;421.6737599;228.5593477;106.2076643
0.1;0;0.1;0;0.2;Bellinzona;423.8385728;186.2237634;92.86513808
0.1;0.025;0.1;0;0.2;Bellinzona;423.4107907;197.2798924;96.80709023
0.1;0.05;0.1;0;0.2;Bellinzona;422.8772515;208.6454511;100.6169013
0.1;0.1;0.1;0;0.2;Bellinzona;421.538983;231.4881946;107.5753731
0.1;0.075;0.1;0;0.2;Bellinzona;422.3005489;220.1001735;104.2064992
0.1;0;0.2;0;0.2;Bellinzona;423.7680811;188.1560714;93.93093276
0.1;0.025;0.2;0;0.2;Bellinzona;423.2991094;199.5357439;98.00264453
0.1;0.05;0.2;0;0.2;Bellinzona;422.8015713;211.1905501;101.9042143
0.1;0.075;0.2;0;0.2;Bellinzona;422.1989044;222.9232176;105.5742943
0.1;0.1;0.2;0;0.2;Bellinzona;421.4745252;234.4886841;108.9545358
0.1;0;0.3;0;0.2;Bellinzona;423.6933808;190.2028688;95.0627294
0.1;0.025;0.3;0;0.2;Bellinzona;423.2274375;201.8976413;99.25021361
0.1;0.05;0.3;0;0.2;Bellinzona;422.7166229;213.8574565;103.2485535
0.1;0.1;0.3;0;0.2;Bellinzona;421.3319508;237.6636072;110.4239079
0.1;0.075;0.3;0;0.2;Bellinzona;422.0950517;225.8595857;106.9868937
0.1;0;0.4;0;0.2;Bellinzona;423.5986024;192.3675216;96.26019741
0.1;0.025;0.4;0;0.2;Bellinzona;423.1564329;204.3821554;100.5596627
0.1;0.05;0.4;0;0.2;Bellinzona;422.6181803;216.6702451;104.6656117
0.1;0.075;0.4;0;0.2;Bellinzona;421.9670058;228.9546772;108.4770215
0.1;0.1;0.4;0;0.2;Bellinzona;421.2356372;240.964684;111.9413293
0.1;0;0.5;0;0.2;Bellinzona;423.5138538;194.6337381;97.5091246
0.1;0.025;0.5;0;0.2;Bellinzona;423.065353;206.9980014;101.9350392
0.1;0.05;0.5;0;0.2;Bellinzona;422.5249784;219.6136071;106.1403778
0.1;0.075;0.5;0;0.2;Bellinzona;421.8625254;232.1937304;110.0289941
0.1;0.1;0.5;0;0.2;Bellinzona;421.1053755;244.3996045;113.51361
0.2;0;0;0;0.2;Bellinzona;423.8399478;184.4482002;92.81478914
0.2;0.025;0;0;0.2;Bellinzona;423.3832026;195.2259291;96.6090945
0.2;0.05;0;0;0.2;Bellinzona;422.8988228;206.2792147;100.218196
0.2;0.075;0;0;0.2;Bellinzona;422.3067834;217.478432;103.6234582
0.2;0.1;0;0;0.2;Bellinzona;421.6021348;228.6112053;106.7767997
0.2;0;0.1;0;0.2;Bellinzona;423.7376071;186.3282111;93.87586802
0.2;0.025;0.1;0;0.2;Bellinzona;423.3235304;197.3574557;97.7506273
0.2;0.05;0.1;0;0.2;Bellinzona;422.8043887;208.7094338;101.4671021
