Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;2050
0;0.025;0.1;0;0.4;SFH;0.576439737
0;0;0;0;0.4;SFH;0.514808118
0;0.075;0;0;0.4;SFH;0.647036316
0;0.025;0;0;0.4;SFH;0.560208368
0;0;0.1;0;0.4;SFH;0.528489242
0;0.1;0.1;0;0.4;SFH;0.702001653
0;0.025;0.2;0;0.4;SFH;0.594209579
0;0.1;0;0;0.4;SFH;0.684509398
0;0.05;0.1;0;0.4;SFH;0.622903253
0;0.05;0.2;0;0.4;SFH;0.642121961
0;0;0.2;0;0.4;SFH;0.543758026
0;0.025;0.3;0;0.4;SFH;0.613454533
0;0.075;0.3;0;0.4;SFH;0.703721536
0;0.075;0.2;0;0.4;SFH;0.684550454
0;0.1;0.2;0;0.4;SFH;0.719155223
0;0;0.3;0;0.4;SFH;0.560658717
0;0.1;0.3;0;0.4;SFH;0.735317353
0;0.05;0.3;0;0.4;SFH;0.662261906
0;0.05;0.4;0;0.4;SFH;0.683119901
0;0;0.4;0;0.4;SFH;0.579103551
0;0.025;0.4;0;0.4;SFH;0.634014688
0;0.075;0.4;0;0.4;SFH;0.722423013
0;0.1;0.4;0;0.4;SFH;0.74970922
0;0;0.5;0;0.4;SFH;0.598905277
0;0.025;0.5;0;0.4;SFH;0.655676081
0;0.05;0.5;0;0.4;SFH;0.704201628
0;0.075;0.5;0;0.4;SFH;0.739958323
0;0.1;0.5;0;0.4;SFH;0.761199072
0.1;0;0;0;0.4;SFH;0.514886325
0.1;0.025;0;0;0.4;SFH;0.56027202
0.1;0.05;0;0;0.4;SFH;0.604960153
0.1;0.075;0;0;0.4;SFH;0.647049744
0.1;0.1;0;0;0.4;SFH;0.68449162
0.1;0;0.1;0;0.4;SFH;0.52859311
0.1;0.025;0.1;0;0.4;SFH;0.576497233
0.1;0.05;0.1;0;0.4;SFH;0.622924031
0.1;0.075;0.1;0;0.4;SFH;0.665530352
0.1;0.1;0.1;0;0.4;SFH;0.701986555
0.1;0;0.2;0;0.4;SFH;0.543876606
0.1;0.025;0.2;0;0.4;SFH;0.594252201
0.1;0.05;0.2;0;0.4;SFH;0.642122843
0.1;0.075;0.2;0;0.4;SFH;0.684523421
0.1;0.1;0.2;0;0.4;SFH;0.719130858
0.1;0;0.3;0;0.4;SFH;0.560763032
